h_over_D,E1_over_E2,Eeq_over_E2
0.29771,0.89546,0.9
0.33612,0.89221,0.9
0.36777,0.88931,0.9
0.39884,0.8864,0.9
0.42542,0.8831,0.9
0.47122,0.87759,0.9
0.49837,0.8739,0.9
0.52778,0.86984,0.9
0.57134,0.86356,0.9
0.59851,0.85911,0.9
0.61832,0.85577,0.9
0.65794,0.84908,0.9
0.70039,0.84203,0.9
0.72869,0.83758,0.9
0.76833,0.83014,0.9
0.80119,0.82342,0.9
0.90079,0.80748,0.9
0.94834,0.7993,0.9
1.00043,0.79,0.9
1.04457,0.78334,0.9
1.07909,0.77778,0.9
1.09947,0.77444,0.9
1.14585,0.76779,0.9
1.18038,0.76223,0.9
1.19847,0.76002,0.9
1.22959,0.75521,0.9
1.27202,0.7493,0.9
1.30258,0.74449,0.9
1.33427,0.73929,0.9
1.37275,0.73337,0.9
1.40216,0.72931,0.9
1.44967,0.72305,0.9
1.5006,0.71489,0.9
1.5515,0.70826,0.9
1.60298,0.70087,0.9
1.64483,0.69534,0.9
1.6686,0.69164,0.9
1.69462,0.68795,0.9
1.71668,0.685,0.9
1.75457,0.67983,0.9
1.77493,0.67726,0.9
1.80038,0.67395,0.9
1.84788,0.66807,0.9
1.87558,0.66476,0.9
1.90441,0.66147,0.9
1.93835,0.65705,0.9
1.97736,0.65227,0.9
1.99546,0.65007,0.9
0.03331,0.89351,0.89
0.05871,0.89313,0.89
0.08478,0.89218,0.89
0.09764,0.89224,0.89
0.12572,0.89159,0.89
0.1473,0.89013,0.89
0.17833,0.88914,0.89
0.19865,0.88809,0.89
0.22179,0.88706,0.89
0.24777,0.88527,0.89
0.28164,0.88353,0.89
0.2986,0.8817,0.89
0.32515,0.87954,0.89
0.34776,0.87698,0.89
0.36416,0.87477,0.89
0.39187,0.87108,0.89
0.42129,0.86702,0.89
0.44392,0.86369,0.89
0.46485,0.86074,0.89
0.49201,0.85629,0.89
0.52087,0.85184,0.89
0.53786,0.84887,0.89
0.56615,0.84442,0.89
0.58994,0.83995,0.89
0.62787,0.83326,0.89
0.65448,0.82843,0.89
0.67543,0.82471,0.89
